# block_static: walk east into a blocking static (barrel at tile 8,8) -> stopped.
# the guard at (12,8) wakes on sight and must route around the barrel (no firing).
# controlx controly buttons
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
0 -35 0
